SKU,item_name,jan_net_sales,feb_net_sales,mar_net_sales,apr_net_sales,may_net_sales,jun_net_sales,jul_net_sales,aug_net_sales,sep_net_sales,oct_net_sales,nov_net_sales,dec_net_sales,total_net_sales,category
200469,"TURKEY, GROUND NORBEST 1#/20",2290.41,648.7,1551.89,1372.25,314.37,548.9,4226.53,2425.14,2260.47,793.41,3128.73,499,20059.8,GM
JHK00180,"SAUCE, RAGU SPAG TRADTNL 66oz/6",1458.42,1556.52,1680.78,1268.76,1294.92,1628.46,2452.5,1432.26,1674.24,1236.06,2027.4,2295.54,20005.86,GG
200503,"BEEF, CHUCK BEEF STEW",1323.35,2467.6,2069.6,1442.75,1263.65,726.35,2477.55,2626.8,1462.65,736.3,2059.65,1303.45,19959.7,GM
200121,"FISH, KATSUO",1539,1476,2569.5,1597.5,3762,3595.5,2038.5,292.5,90,1390.5,598.5,823.5,19773,GM
CPC00864,"PB, SKIPPY CREAMY 16.3oz/12",1564,1409.44,1597.12,1773.76,1376.32,1140.8,1608.16,1582.4,1225.44,2145.44,1983.52,1784.8,19191.2,GG
200641,"BEEF, GROUND BISTRO 2#/20 73%",2710.65,2232.3,0,2296.08,1934.66,53.15,3029.55,1233.08,1360.64,1488.2,977.96,1732.69,19048.96,GM
MEI-15216,"CHOCOLATE, MEIJI HI MILK 50G/120",1211.76,1408.32,1826.28,1262.52,1681.56,1508.76,1802.52,1908.36,1304.64,1558.44,1647,1811.16,18931.32,GG
ZUC264266,"STARBUCKS, FRAPP MOCHA 9.5/15",1740.02,2434.1,1665.31,1911.13,1607.47,1711.1,1670.13,1164.03,1161.62,713.36,1795.45,1200.18,18773.9,GB
42-80373,"VEGETABLE OIL, EED 40oz/12",3295.36,0,2468.48,1477.44,1507.84,1647.68,1969.92,1173.44,1252.48,1070.08,1228.16,1568.64,18659.52,GG
EL381420,"POKKA, MILK COFFEE BTL 500ml/24",1333.86,196.08,2778.66,2487.12,2772.21,1028.13,1820.19,1189.38,1741.5,0,2296.2,981.69,18625.02,GB
KNO20,"SEASONING, KNORR LIQUID 1GAL/4",1796.4,1721.55,1147.7,1272.45,1771.45,1721.55,648.7,2195.6,923.15,1971.05,2120.75,1247.5,18537.85,GG
90017,"WATER, AQUA 500ML/24",766.41,1367.62,1046.07,446.04,1151.09,1542.26,1569.99,1401.84,1746.99,2099.22,1711.59,3666.85,18515.97,GB
E3003,"BREAD CRUMBS, F-STAR SFT 2kg/4",1635.3,1617.13,1744.32,1798.83,1580.79,1689.81,1253.73,1253.73,1489.94,1598.96,1271.9,1526.28,18460.72,GG
6211,"CHIPS, CHEETOS CHED JALA 8oz/10",1474.9,1391.6,1278.9,1229.9,1514.1,1837.5,1832.6,1803.2,1376.9,1425.9,1396.5,1773.8,18335.8,GG
200507,"BEEF, KNUCKLES SIRLOIN STEAK",0,993.6,2035.5,1593.9,1766.4,1959.6,1994.1,1766.4,1607.7,2325.3,0,2049.3,18091.8,GM
00086-1,"ALUMINUM FOIL, DIAMOND 200FT/12",2434.45,1708.15,1896.45,1815.75,1008.75,887.7,1506.4,1210.5,2057.85,1331.55,1102.9,1102.9,18063.35,GN
17-40135,"CREAM CHEESE, EED BAR 8oz/36",604.9,562.82,1748.95,1359.71,1890.97,1293.96,757.44,1893.6,1123.01,1980.39,2345.96,2456.42,18018.13,GC
10114,"CHOCOLATE DRINK, YOO HOO 6.5oz",1598.13,298.89,1377,1530.09,1034.37,1884.87,1741.5,1322.73,2071.98,1903.5,1430.46,1782,17975.52,GB
HE-KF11617,"RAMEN, KUNG FU BEEF 85G/30",1346.76,959.58,1836.54,1787.94,1776.06,884.52,2449.98,878.58,1691.82,1588.14,1742.58,888.84,17831.34,GG
17-01588,"CHEESE, EED CHED 24 SLICE 16z/12",1524.75,1021.85,1567.55,904.15,1460.55,1075.35,2391.45,1706.65,1048.6,1294.7,1931.35,1802.95,17729.9,GC
104E,"SODA, CRUSH STRAWBERRY 12oz/24",2115.75,1479.45,1051.05,1172.85,1506.75,1269.45,1697.85,1599.15,882,1137.15,2102.1,1621.2,17634.75,GB
200524+,"BEEF, RIBEYE COMMERCIAL COMMON",2288.5,3253.65,885.55,328.35,1044.75,1174.1,1343.25,517.4,975.1,1373.1,2487.5,1860.65,17531.9,GM
FRITO01207,"CHIPS, LAY'S REGULAR 1.5OZ/32",1119.15,1591.65,1648.35,1125.9,1452.6,1316.25,1522.8,1576.8,1559.25,1387.8,1567.35,1553.85,17421.75,GG
ZUS990065257,"DOG FOOD, PURINA BEEF 48lb",1374.3,2036,1832.4,1527,1985.1,1374.3,865.3,1730.6,458.1,1679.7,1577.9,814.4,17255.1,GN
GP104,"GRAPES, BLACK SEEDLESS LB",3.9,31.2,1216.8,1088.1,1735.5,881.4,74.1,1259.7,1938.3,3447.6,2109.9,3424.2,17210.7,GP
DAMCANOLAOIL2L,"CANOLA OIL, TRUE CHOICE 2L/6",0,0,1226.25,1373.4,2071,795.7,970.1,1373.4,2141.85,1651.35,2125.5,3062.9,16791.45,GG
ZUC438842,"DRINK, CAPRISUN VRTY REG 6.7z/10",1326,999.05,1612.65,1451.45,1431.3,1502.15,977.6,1623.05,1182.35,1645.8,1387.1,1433.9,16572.4,GB
DEL215,"JUICE, DM PINEAPLE ACE 220ml/24",1370.16,1465.2,1540.44,1737.45,636.57,1393.92,485.1,2390.85,504.9,2015.64,974.16,1929.51,16443.9,GB
06-58744,"PB, SKIPPY CREAMY 64oz/6 4LB",1304.16,1053.36,1341.78,677.16,2106.72,1391.94,1893.54,1805.76,2357.52,827.64,0,1542.42,16302,GG
17-51147,"MARGARINE, IMPERIAL QRTS 16oz/24",1470,1180.9,1516.55,1293.6,1465.1,1210.3,1006.95,1372,1666,1445.5,1051.05,1619.45,16297.4,GC
200222,"CHICKEN, THIGH QUARTER 22.05#",3992,0,523.95,1347.3,499,748.5,748.5,1497,3418.15,2020.95,973.05,399.2,16167.6,GM
ZUC401621,"CHOC, HERSHEY NUGG ASST 52oz/1",1122.75,748.5,1422.15,698.6,923.15,2120.75,1147.7,1297.4,898.2,848.3,1546.9,3393.2,16167.6,GG
FLX5619001,"SQUID, CALAMARI 1#/24",1117.25,915.6,784.8,1411.55,1144.5,1531.45,1460.6,1711.3,1122.7,1318.9,1923.85,1722.2,16164.7,GM
JHK72291,"PEACHES, CAL GIRL HALVES #10/6",1344.15,1498.65,556.2,2240.25,1251.45,494.4,2889.15,1869.45,1390.5,200.85,988.8,1266.9,15990.75,GG
SB7029,"ALOHA MAID, GRN TEA W/GNSNG 12oz",1313.55,744.45,1083.6,1079.4,1014.3,927.15,1300.95,1197,1923.6,1722,2150.4,1516.2,15972.6,GB
